"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.9,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.8,
"ITA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.9,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.3,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.2,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.1,
"JPN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.1,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.9,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3,
"KOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.7,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.3,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.5,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.9,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.8,
"LUX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.8,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",13.7,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",13.3,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",13,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",12.5,
"MEX","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",12.5,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.6,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.7,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.8,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.6,
"NLD","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.3,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",5.2,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4.7,
"NZL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",5,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.4,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.5,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.4,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.4,
"NOR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.3,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.7,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4.6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",4.6,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",4.2,
"POL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.1,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.4,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.9,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.9,
"PRT","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.9,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.9,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",5.8,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",5.5,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",5.8,
"SVK","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",5.1,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.1,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.1,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.7,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.8,
"ESP","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.7,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.1,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",2.6,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.7,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.2,
"SWE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.5,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.8,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.6,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.9,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.9,
"CHE","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.9,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",11.7,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",11.6,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",10.8,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",11.1,
"TUR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",10.7,
"GBR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.2,
"GBR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",4,
"GBR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.9,
"GBR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.9,
"GBR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.9,
"USA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",6.1,
"USA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",6,
"USA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",6,
"USA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",5.8,
"BRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",14.4,
"BRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",14.3,
"BRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",14.3,
"BRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",14.4,
"BRA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",14.6,
"CHL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",7.7,
"CHL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",7.4,
"CHL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",7,
"CHL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",7.2,
"CHN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",12.5,
"CHN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",11.5,
"CHN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",10.6,
"CHN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",9.8,
"CHN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",9.2,
"EST","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.5,
"EST","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.6,
"EST","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.1,
"EST","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",2.7,
"EST","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",2.5,
"IND","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",44.4,
"IND","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",42.6,
"IND","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",40.9,
"IND","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",39.3,
"IND","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",37.9,
"IDN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",26.3,
"IDN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",25.3,
"IDN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",24.4,
"IDN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",23.6,
"IDN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",22.8,
"ISR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",3.5,
"ISR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.6,
"ISR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.1,
"ISR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.1,
"ISR","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",3.1,
"RUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",7.4,
"RUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",8.6,"B"
"RUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",8.2,
"RUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",7.4,"B"
"RUS","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",6.5,
"SVN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",2.9,
"SVN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",1.6,
"SVN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",2.9,
"SVN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",1.8,
"SVN","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",1.6,
"ZAF","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",37.1,
"ZAF","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",36.8,
"ZAF","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",35.3,
"ZAF","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",34.4,
"ZAF","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",33.6,
"COL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",15.4,
"COL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",14.9,
"COL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",14.5,
"COL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",14.1,
"COL","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",13.6,
"LVA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",6.6,
"LVA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",6.3,
"LVA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",4.4,
"LVA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.8,
"LVA","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4.1,
"LTU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",4.8,
"LTU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",3.9,
"LTU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",3.7,
"LTU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",3.9,
"LTU","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",4.2,
"CRI","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2011",8.8,
"CRI","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2012",8.8,
"CRI","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2013",8.7,
"CRI","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2014",8.6,
"CRI","INFANTMORTALITY","TOT","DEATH_1000BIRTH","A","2015",8.5,
